Date,PositiveReturn,PredictedValue,PredictedMinusActual,EquityPriceLevel,EquityPriceReturns,BAMLH0A0HYM2,BAMLC0A0CM,BAMLC0A4CBBB,BAMLH0A1HYBB,BAMLH0A3HYC,Equity_Position,Strategy_Cum_Rtn,Equity_Cum_Rtn
2019-12-02,0,0,0,301.4810181,-0.008494848,0.005,-0.008403361,-0.006535948,0.0,0.005649718,-0.0,1.1070554208105976,1.2202284021574843
2019-12-03,0,1,1,299.4590759,-0.006706698,-0.009950249,-0.008474576,-0.013157895,-0.017699115,-0.008426966,-0.006706698,1.099630734433958,1.2120446987731914
2019-12-04,1,0,-1,301.3068848,0.006170489,0.002512563,-0.008547009,-0.006666667,0.004504505,0.003777148,0.0,1.099630734433958,1.2195236072544797
2019-12-05,1,0,-1,301.8486023,0.001797893,-0.002506266,0.00862069,0.006711409,-0.004484305,-0.001881468,0.0,1.099630734433958,1.2217161802112972
2019-12-06,1,1,0,304.6056824,0.009133983,-0.005025126,-0.008547009,-0.006666667,-0.009009009,-0.002827521,0.009133983,1.1096747428685552,1.232875315032172
2019-12-09,0,0,0,303.6480103,-0.003143973,-0.017676768,-0.017241379,-0.013422819,-0.027272727,-0.006616257,-0.0,1.1096747428685552,1.2289991883293443
2019-12-10,0,1,1,303.3093567,-0.001115283,-0.010282776,-0.00877193,-0.013605442,-0.009345794,-0.002854424,-0.001115283,1.1084371414923044,1.227628506427587
2019-12-11,1,1,0,304.1703796,0.002838761,0.002597403,0.0,0.0,0.0,-0.001908397,0.002838761,1.1115837296205242,1.231113450354122
2019-12-12,1,1,0,306.7919922,0.008618895,0.025906736,0.008849558,0.006896552,0.033018868,0.014340344,0.008618895,1.1211643530698319,1.2417242879158117
2019-12-13,1,0,-1,306.9757996,0.000599127,0.047979798,0.026315789,0.02739726,0.086757991,0.018850141,0.0,1.1211643530698319,1.242468238463258
2019-12-16,1,0,-1,309.0847473,0.006870078,-0.014457831,-0.008547009,-0.013333333,-0.025210084,-0.002775208,0.0,1.1211643530698319,1.251004092174023
2019-12-17,1,0,-1,309.1524963,0.000219192,-0.024449878,-0.00862069,-0.006756757,-0.030172414,-0.015769944,0.0,1.1211643530698319,1.251278302262995
2019-12-18,1,1,0,309.171875,6.27e-05,-0.005012531,-0.017391304,-0.013605442,-0.013333333,-0.001885014,6.27e-05,1.1212346500747694,1.2513567574125468
2019-12-19,1,1,0,310.4391174,0.004098828,0.012594458,0.0,0.0,0.009009009,0.016997167,0.004098828,1.1258303980530662,1.2564858535278187
2019-12-20,1,0,-1,311.8002014,0.004384383,-0.014925373,-0.017699115,-0.013793103,-0.022321429,-0.004642526,0.0,1.1258303980530662,1.2619947687437667
2019-12-23,1,1,0,312.2765503,0.001527738,0.01010101,0.0,0.0,0.02283105,0.000932836,0.001527738,1.127550371933727,1.2639227661077779
2019-12-24,1,0,-1,312.2862244,3.1e-05,-0.0025,0.0,-0.006993007,-0.004464286,0.0,0.0,1.127550371933727,1.263961947713527
2019-12-26,1,1,0,313.9485779,0.005323173,0.002506266,0.0,0.007042254,0.004484305,0.001863933,0.005323173,1.1335525176297447,1.2706902358266232
2019-12-27,0,1,1,313.8707886,-0.000247777,0.0125,0.009009009,0.006993007,0.008928571,0.018604651,-0.000247777,1.133271649387584,1.2703753880120607
2019-12-30,0,1,1,312.1403809,-0.005513121,0.007407407,0.008928571,0.006944444,0.013274336,0.010045662,-0.005513121,1.1270237856586407,1.2633716547825282
2019-12-31,1,1,0,312.8986511,0.00242926,-0.004901961,-0.008849558,-0.006896552,0.0,-0.006329114,0.00242926,1.1297616194601898,1.2664407130086253
2020-01-02,1,0,-1,315.8248291,0.00935184,0.007389163,0.0,0.0,0.017467249,0.009099181,0.0,1.1297616194601898,1.2782842639261678
2020-01-03,0,1,1,313.4333496,-0.007572171,0.007334963,0.0,0.006944444,-0.004291845,0.023444545,-0.007572171,1.1212068712884005,1.2686048768931097
2020-01-06,1,1,0,314.6290894,0.003814973,0.014563107,0.008928571,0.006896552,0.021551724,0.001762115,0.003814973,1.1254842452297804,1.2734445702461255
2020-01-07,0,1,1,313.7444153,-0.0028118,-0.002392344,0.008849558,0.0,-0.012658228,0.006156552,-0.0028118,1.1223196086290432,1.2698638988035074
